0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.0,0.999577,0.999635,0.995242,0.999179,0.999635,0.996244,0.999221,0.99953,0.999621,0.998705,0.999221,0.999607,0.999514,0.999577,0.999093,0.999635,0.9992,0.995393,0.997434,0.999607,0.99429,0.999546,0.999562,0.999589,0.0,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.990781,0.983607,0.997009,0.99092,0.999514,0.997722,0.995492,0.996377,0.987527,0.979063,0.984972,0.999635,0.993313,0.999635,0.999635,0.999635,0.999635,0.991777,0.999992,0.995657,0.998588,0.999337,0.999967,0.999754,0.999997,0.0
0.999577,0.0,0.999998,0.995541,0.999879,0.999998,0.998026,0.999879,0.99987,0.999997,0.999339,0.999879,0.999995,0.999974,0.999981,0.999715,0.999998,0.999498,0.996244,0.998859,0.999987,0.994935,0.999935,0.999984,0.999992,0.0,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.991059,0.981893,0.997687,0.991868,0.999981,0.998956,0.995876,0.997206,0.986701,0.978218,0.983884,0.999998,0.993432,0.999998,0.999998,0.999998,0.999998,0.991832,0.999995,0.995677,0.99862,0.999365,0.999974,0.999771,0.999999,0.0
0.999635,0.999998,0.0,0.995638,0.999909,1.0,0.998091,0.999894,0.999902,1.0,0.999412,0.999909,0.999999,0.999987,0.999991,0.999762,1.0,0.999562,0.996333,0.998956,0.999995,0.995141,0.999956,0.999993,0.0,1.0,0.980651,0.994997,0.994083,0.993229,0.997424,0.9945,0.996369,0.9989,0.998705,0.997994,0.998504,0.998672,0.999364,0.999151,0.999645,0.999104,0.999669,0.999802,0.999465,0.999919,0.999929,0.999635,0.999909,0.999978,0.999989,0.999997,0.999998,0.985288,0.991333,0.982088,0.997826,0.991999,0.999991,0.998859,0.995876,0.997049,0.986533,0.978004,0.983514,0.999951,0.993313,0.978107,0.999976,0.999924,0.999942,0.991821,0.999995,0.995685,0.998624,0.999368,0.999975,0.999773,0.999999,0.0
0.995242,0.995541,0.995638,0.0,0.994509,0.995638,0.988326,0.994179,0.995293,0.995589,0.995541,0.995141,0.995638,0.995442,0.995242,0.994067,0.995638,0.996421,0.985149,0.99092,0.995442,0.987445,0.995734,0.995492,0.995543,0.0,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.995638,0.987282,0.983233,0.994123,0.987117,0.995242,0.993372,0.990569,0.992129,0.988639,0.980705,0.985501,0.995638,0.9914,0.995638,0.995638,0.995638,0.995638,0.991716,0.999977,0.995523,0.998487,0.999253,0.999942,0.999702,0.999987,0.0
0.999179,0.999879,0.999909,0.994509,0.0,0.999909,0.997167,0.999607,0.999621,0.999902,0.998859,0.999635,0.999894,0.999825,0.999844,0.999376,0.999909,0.999071,0.995492,0.998309,0.999862,0.993724,0.999762,0.999853,0.999883,0.0,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.990212,0.982281,0.996846,0.991196,0.999844,0.998186,0.995782,0.996722,0.986363,0.978218,0.984251,0.999909,0.992702,0.999909,0.999909,0.999909,0.999909,0.991771,0.999994,0.995669,0.998604,0.999354,0.999971,0.999763,0.999998,0.0
0.999635,0.999998,1.0,0.995638,0.999909,0.0,0.998091,0.999894,0.999902,1.0,0.999412,0.999909,0.999999,0.999987,0.999991,0.999762,1.0,0.999562,0.996333,0.998956,0.999995,0.995141,0.999956,0.999993,0.0,1.0,0.980651,0.994997,0.994083,0.993229,0.997424,0.9945,0.996369,0.9989,0.998705,0.997994,0.998504,0.998672,0.999364,0.999151,0.999645,0.999104,0.999669,0.999802,0.999465,0.999919,0.999929,0.999635,0.999909,0.999978,0.999989,0.999997,0.999998,0.985288,0.991333,0.982088,0.997826,0.991999,0.999991,0.998859,0.995876,0.997049,0.986533,0.978004,0.983514,0.999951,0.993313,0.978107,0.999976,0.999924,0.999942,0.991821,0.999995,0.995685,0.998624,0.999368,0.999975,0.999773,0.999999,0.0
0.996244,0.998026,0.998091,0.988326,0.997167,0.998091,0.0,0.997167,0.997359,0.998059,0.996244,0.997471,0.998026,0.997961,0.997826,0.997089,0.998091,0.996016,0.989477,0.995293,0.997961,0.994235,0.997616,0.998059,0.998008,0.0,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.998091,0.989402,0.981796,0.992639,0.990569,0.998091,0.995192,0.991468,0.994235,0.984342,0.979994,0.982665,0.998091,0.989176,0.998091,0.998091,0.998091,0.998091,0.991875,0.999985,0.995535,0.998517,0.999279,0.999955,0.999721,0.999993,0.0
0.999221,0.999879,0.999894,0.994179,0.999607,0.999894,0.997167,0.0,0.999649,0.999887,0.999003,0.999663,0.999879,0.999844,0.999825,0.999577,0.999894,0.999115,0.99509,0.998186,0.999844,0.994617,0.999739,0.999835,0.999866,0.0,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.999894,0.99092,0.981501,0.997089,0.991333,0.999825,0.998309,0.994882,0.996289,0.985326,0.978431,0.98276,0.999894,0.992194,0.999894,0.999894,0.999894,0.999894,0.991804,0.999993,0.995653,0.998604,0.999348,0.99997,0.99976,0.999998,0.0
0.99953,0.99987,0.999902,0.995293,0.999621,0.999902,0.997359,0.999649,0.0,0.999894,0.999026,0.999649,0.999887,0.999835,0.999887,0.99943,0.999902,0.999339,0.995734,0.998217,0.999902,0.994346,0.999853,0.999862,0.999875,0.0,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.999902,0.99099,0.983139,0.997507,0.991265,0.999835,0.998217,0.995038,0.996333,0.986448,0.979376,0.983792,0.999902,0.992386,0.999902,0.999902,0.999902,0.999902,0.991807,0.999994,0.995659,0.998605,0.999352,0.999971,0.999763,0.999998,0.0
0.999621,0.999997,1.0,0.995589,0.999902,1.0,0.998059,0.999887,0.999894,0.0,0.999394,0.999902,0.999999,0.999984,0.999989,0.999751,1.0,0.999546,0.996377,0.998932,0.999993,0.99509,0.999951,0.999991,0.999997,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9914,0.981991,0.997792,0.991934,0.999989,0.998834,0.995923,0.997009,0.986448,0.978111,0.983607,1.0,0.993253,1.0,1.0,1.0,1.0,0.991824,0.999995,0.995683,0.998623,0.999368,0.999975,0.999773,0.999999,0.0
0.998705,0.999339,0.999412,0.995541,0.998859,0.999412,0.996244,0.999003,0.999026,0.999394,0.0,0.999003,0.999412,0.999221,0.999261,0.998652,0.999412,0.998091,0.994671,0.997359,0.999301,0.992639,0.999137,0.999281,0.999357,0.0,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.999412,0.991468,0.981698,0.996509,0.99064,0.999261,0.997359,0.99355,0.995038,0.985676,0.978431,0.983139,0.999412,0.991128,0.999412,0.999412,0.999412,0.999412,0.991733,0.999991,0.995632,0.998571,0.999331,0.999965,0.999748,0.999996,0.0
0.999221,0.999879,0.999909,0.995141,0.999635,0.999909,0.997471,0.999663,0.999649,0.999902,0.999003,0.0,0.999894,0.999825,0.999862,0.999376,0.999909,0.99932,0.995589,0.998369,0.999862,0.9944,0.999805,0.999853,0.999883,0.0,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.990781,0.982281,0.997321,0.991602,0.999844,0.998369,0.995293,0.996377,0.986868,0.979063,0.984251,0.999909,0.993313,0.999909,0.999909,0.999909,0.999909,0.991799,0.999994,0.995669,0.998608,0.999351,0.999971,0.999762,0.999998,0.0
0.999607,0.999995,0.999999,0.995638,0.999894,0.999999,0.998026,0.999879,0.999887,0.999999,0.999412,0.999894,0.0,0.999981,0.999987,0.999739,0.999999,0.99953,0.996244,0.998908,0.999991,0.995038,0.999956,0.999989,0.999996,0.0,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.991196,0.981893,0.997757,0.991868,0.999987,0.998859,0.995876,0.996969,0.986533,0.978218,0.9837,0.999999,0.993192,0.999999,0.999999,0.999999,0.999999,0.991826,0.999995,0.995681,0.998622,0.999367,0.999975,0.999772,0.999999,0.0
0.999514,0.999974,0.999987,0.995442,0.999825,0.999987,0.997961,0.999844,0.999835,0.999984,0.999221,0.999825,0.999981,0.0,0.999956,0.999635,0.999987,0.99943,0.99597,0.998757,0.999974,0.994724,0.999909,0.999961,0.999975,0.0,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.991059,0.982474,0.997616,0.991868,0.999956,0.998652,0.995492,0.996637,0.986022,0.978004,0.98295,0.999987,0.992949,0.999987,0.999987,0.999987,0.999987,0.991821,0.999995,0.995669,0.99862,0.999362,0.999973,0.999768,0.999999,0.0
0.999577,0.999981,0.999991,0.995242,0.999844,0.999991,0.997826,0.999825,0.999887,0.999989,0.999261,0.999862,0.999987,0.999956,0.0,0.999689,0.999991,0.999498,0.99597,0.998757,0.999991,0.995038,0.999922,0.99997,0.999982,0.0,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.991602,0.982474,0.997894,0.992129,0.999965,0.998705,0.995686,0.997049,0.986533,0.978643,0.984068,0.999991,0.992949,0.999991,0.999991,0.999991,0.999991,0.991821,0.999995,0.995685,0.998615,0.999362,0.999974,0.999769,0.999999,0.0
0.999093,0.999715,0.999762,0.994067,0.999376,0.999762,0.997089,0.999577,0.99943,0.999751,0.998652,0.999376,0.999739,0.999635,0.999689,0.0,0.999762,0.998932,0.994564,0.99786,0.999689,0.993724,0.999514,0.999676,0.999723,0.0,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.999762,0.990067,0.981893,0.997089,0.991468,0.999715,0.997994,0.994671,0.995923,0.986701,0.978218,0.983884,0.999762,0.993071,0.999762,0.999762,0.999762,0.999762,0.991766,0.999992,0.995671,0.99859,0.999337,0.999968,0.999755,0.999998,0.0
0.999635,0.999998,1.0,0.995638,0.999909,1.0,0.998091,0.999894,0.999902,1.0,0.999412,0.999909,0.999999,0.999987,0.999991,0.999762,0.0,0.999562,0.996333,0.998956,0.999995,0.995141,0.999956,0.999993,0.0,1.0,0.980651,0.994997,0.994083,0.993229,0.997424,0.9945,0.996369,0.9989,0.998705,0.997994,0.998504,0.998672,0.999364,0.999151,0.999645,0.999104,0.999669,0.999802,0.999465,0.999919,0.999929,0.999635,0.999909,0.999978,0.999989,0.999997,0.999998,0.985288,0.991333,0.982088,0.997826,0.991999,0.999991,0.998859,0.995876,0.997049,0.986533,0.978004,0.983514,0.999951,0.993313,0.978107,0.999976,0.999924,0.999942,0.991821,0.999995,0.995685,0.998624,0.999368,0.999975,0.999773,0.999999,0.0
0.9992,0.999498,0.999562,0.996421,0.999071,0.999562,0.996016,0.999115,0.999339,0.999546,0.998091,0.99932,0.99953,0.99943,0.999498,0.998932,0.999562,0.0,0.994935,0.997167,0.999498,0.992826,0.99943,0.999481,0.999512,0.0,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.999562,0.990427,0.981991,0.996805,0.991802,0.99943,0.997757,0.995734,0.996595,0.989176,0.980199,0.986448,0.999562,0.994617,0.999562,0.999562,0.999562,0.999562,0.991807,0.999991,0.995634,0.998579,0.999335,0.999966,0.999753,0.999997,0.0
0.995393,0.996244,0.996333,0.985149,0.995492,0.996333,0.989477,0.99509,0.995734,0.996377,0.994671,0.995589,0.996244,0.99597,0.99597,0.994564,0.996333,0.994935,0.0,0.991934,0.996154,0.987527,0.995589,0.996108,0.996243,0.0,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.996333,0.988639,0.98295,0.9944,0.988639,0.99597,0.994011,0.991736,0.990427,0.98793,0.981796,0.984882,0.996333,0.991868,0.996333,0.996333,0.996333,0.996333,0.991597,0.999978,0.99561,0.998483,0.999265,0.999945,0.999703,0.999988,0.0
0.997434,0.998859,0.998956,0.99092,0.998309,0.998956,0.995293,0.998186,0.998217,0.998932,0.997359,0.998369,0.998908,0.998757,0.998757,0.99786,0.998956,0.997167,0.991934,0.0,0.998808,0.990781,0.998542,0.998834,0.998888,0.0,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.998956,0.989774,0.980705,0.994671,0.99092,0.998757,0.996199,0.993071,0.99429,0.9837,0.977139,0.981005,0.998956,0.990427,0.998956,0.998956,0.998956,0.998956,0.991716,0.999988,0.995592,0.99856,0.99931,0.99996,0.999735,0.999995,0.0
0.999607,0.999987,0.999995,0.995442,0.999862,0.999995,0.997961,0.999844,0.999902,0.999993,0.999301,0.999862,0.999991,0.999974,0.999991,0.999689,0.999995,0.999498,0.996154,0.998808,0.0,0.995141,0.999935,0.999977,0.999987,0.0,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.991468,0.982474,0.997826,0.991868,0.999974,0.998705,0.995686,0.996969,0.986533,0.978004,0.983514,0.999995,0.993071,0.999995,0.999995,0.999995,0.999995,0.991832,0.999995,0.995681,0.998617,0.999364,0.999974,0.99977,0.999999,0.0
0.99429,0.994935,0.995141,0.987445,0.993724,0.995141,0.994235,0.994617,0.994346,0.99509,0.992639,0.9944,0.995038,0.994724,0.995038,0.993724,0.995141,0.992826,0.987527,0.990781,0.995141,0.0,0.994724,0.994882,0.995044,0.0,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.995141,0.987445,0.985238,0.991265,0.988405,0.995038,0.991196,0.988794,0.989176,0.984251,0.983233,0.981796,0.995141,0.987527,0.995141,0.995141,0.995141,0.995141,0.991789,0.999976,0.995486,0.998465,0.999229,0.999939,0.999684,0.999986,0.0
0.999546,0.999935,0.999956,0.995734,0.999762,0.999956,0.997616,0.999739,0.999853,0.999951,0.999137,0.999805,0.999956,0.999909,0.999922,0.999514,0.999956,0.99943,0.995589,0.998542,0.999935,0.994724,0.0,0.999929,0.999937,0.0,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.99092,0.982088,0.997471,0.991333,0.999909,0.998427,0.995393,0.996805,0.986193,0.979063,0.9837,0.999956,0.992826,0.999956,0.999956,0.999956,0.999956,0.991832,0.999994,0.995665,0.998608,0.999359,0.999972,0.999766,0.999999,0.0
0.999562,0.999984,0.999993,0.995492,0.999853,0.999993,0.998059,0.999835,0.999862,0.999991,0.999281,0.999853,0.999989,0.999961,0.99997,0.999676,0.999993,0.999481,0.996108,0.998834,0.999977,0.994882,0.999929,0.0,0.999985,0.0,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.991128,0.981796,0.99758,0.991802,0.99997,0.998783,0.995829,0.997167,0.986278,0.978537,0.983976,0.999993,0.99301,0.999993,0.999993,0.999993,0.999993,0.991829,0.999995,0.995671,0.998621,0.999363,0.999974,0.999771,0.999999,0.0
0.999589,0.999992,0.0,0.995543,0.999883,0.0,0.998008,0.999866,0.999875,0.999997,0.999357,0.999883,0.999996,0.999975,0.999982,0.999723,0.0,0.999512,0.996243,0.998888,0.999987,0.995044,0.999937,0.999985,0.0,0.97699,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.983173,0.991307,0.982127,0.997754,0.99198,0.999981,0.998786,0.995783,0.996958,0.98655,0.978129,0.983554,0.983173,0.993264,0.983173,0.983173,0.983173,0.983173,0.991817,0.999995,0.995681,0.998621,0.999366,0.999974,0.999772,0.999999,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97699,0.0,0.989397,0.979485,0.0,0.982118,0.0,0.976272,0.978901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983931,0.0,1.0,0.982675,0.987612,1.0,0.983335,0.0,1.0,1.0,1.0,0.983643,0.0,0.978218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982281,0.97659,0.0,0.0,0.990762,0.999864,0.995552,0.98782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997652
